n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000506844,0.000176864,0.00032,0.00037775,0.0004205,0.00057325,0.001041
2,0.000982219,0.000197875,0.000623,0.0008785,0.001042,0.0011095,0.001319
4,0.00280381,0.000498145,0.001888,0.00245875,0.00302,0.00320375,0.003395
8,0.0144567,0.00293757,0.011479,0.0120877,0.012657,0.0180562,0.018616
16,0.0933356,0.0136951,0.078685,0.0824747,0.0849895,0.107358,0.130371
32,0.623691,0.0487722,0.575013,0.585703,0.613899,0.64121,0.814407
64,4.85112,0.170514,4.5895,4.73768,4.83712,4.967,5.19329
128,37.9892,0.567379,37.0334,37.464,38.0429,38.3004,39.1296
256,269.634,1.3009,267.279,268.852,269.462,270.206,273.491
512,1912.37,3.22801,1904.06,1910.4,1912.38,1914.13,1921.08
1024,13464.9,11.9563,13433.7,13457.5,13464.3,13474.1,13489.3
