n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.0004535,0.000127873,0.000346,0.000375,0.0004015,0.00049625,0.000972
2,0.000662563,0.000128915,0.000572,0.0006125,0.000628,0.000671,0.001324
4,0.0117369,0.00179969,0.010785,0.0111975,0.011304,0.01147,0.019119
8,0.0901917,0.00235753,0.087729,0.0887397,0.089376,0.090877,0.097695
16,0.672258,0.122214,0.600745,0.625247,0.650695,0.669794,1.31029
32,4.68222,0.322117,4.32146,4.41524,4.56128,4.98271,5.37917
64,32.3356,0.461696,31.4217,31.9126,32.3669,32.5965,33.3872
128,222.914,2.60785,220.585,221.411,222.023,222.791,230.4
256,1574.33,2.64866,1570.34,1572.56,1573.87,1574.9,1581.76
512,11120.3,17.9971,11083.7,11109.6,11122,11129.7,11158
1024,77531.1,70.5021,77370,77476.2,77539.3,77567,77678.9
