n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000462438,0.00015628,0.00035,0.00036875,0.0003995,0.00051575,0.001153
2,0.000646313,6.06457e-05,0.00057,0.00060925,0.0006315,0.0006565,0.000848
4,0.00199687,0.000113741,0.001851,0.001908,0.00199,0.002056,0.002377
8,0.012077,0.00178094,0.011289,0.011347,0.0114885,0.0117815,0.020066
16,0.0853981,0.00545882,0.080674,0.0818138,0.0825225,0.0913465,0.102921
32,0.630709,0.0253748,0.575525,0.614634,0.637088,0.642786,0.687616
64,4.77238,0.140175,4.59101,4.66812,4.70975,4.839,5.12071
128,34.7986,0.316652,34.0411,34.5857,34.779,34.9191,35.5891
256,249.151,1.23441,247.359,248.393,248.825,249.617,252.612
512,1765.68,2.25293,1761.71,1764.04,1765.54,1767.27,1771.43
1024,12468.2,12.8304,12438.7,12464.4,12470.6,12475.4,12489.8
