n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000494031,0.000170968,0.00033,0.00035875,0.000401,0.00062475,0.001016
2,0.00104156,0.000123998,0.000653,0.00098075,0.001045,0.00109875,0.001395
4,0.00341184,0.000120762,0.00314,0.003343,0.003405,0.00348025,0.003772
8,0.012698,0.00250921,0.011239,0.011353,0.0115105,0.0126488,0.020117
16,0.0838202,0.00517004,0.073767,0.0811932,0.081862,0.08669,0.094151
32,0.649578,0.144216,0.569917,0.574855,0.588765,0.647671,1.11847
64,4.89808,0.239364,4.63431,4.74658,4.83586,4.94747,5.62729
128,37.8803,0.742285,36.9425,37.4033,37.6606,38.1961,40.7301
256,300.652,5.40093,297.592,298.355,299.057,299.763,322.783
512,2392.53,5.35295,2382.57,2387.92,2392.59,2395.33,2403.31
1024,16849.6,26.0515,16763.7,16832,16857.5,16868.6,16884.9
