n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.00104072,0.00141463,0.000428,0.000645,0.0007005,0.000813,0.008526
2,0.000651875,5.4868e-05,0.000603,0.000622,0.000639,0.00066225,0.000875
4,0.00194397,7.72493e-05,0.001849,0.00189125,0.0019155,0.001991,0.002185
8,0.0118236,0.000900034,0.011242,0.0114077,0.0114665,0.0117715,0.015983
16,0.0875697,0.00889103,0.081119,0.082041,0.082481,0.091705,0.112492
32,0.631472,0.0411957,0.577831,0.59645,0.635563,0.643646,0.731106
64,4.77665,0.241323,4.49773,4.59079,4.70542,4.93583,5.36412
128,33.9806,0.367185,33.3689,33.7115,33.966,34.1662,34.689
256,243.23,1.09342,241.818,242.615,242.912,243.401,246.621
512,1729.5,2.94073,1724.11,1727.16,1729.54,1731.73,1734.52
1024,12183.2,12.9864,12159.4,12174.3,12185.9,12191.6,12216.5
