n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000389719,0.000121502,0.000324,0.0003495,0.000356,0.00037675,0.001017
2,0.00061525,6.42821e-05,0.000559,0.00058775,0.000601,0.000619,0.000932
4,0.00190109,7.65356e-05,0.001765,0.00184625,0.001878,0.00195075,0.00209
8,0.0115954,0.000595123,0.010174,0.0113668,0.011433,0.0116953,0.012765
16,0.0840585,0.00477802,0.073859,0.081641,0.082662,0.0839185,0.095119
32,0.625236,0.0391609,0.574689,0.587056,0.631236,0.643461,0.721051
64,4.73493,0.135506,4.56079,4.61922,4.74574,4.80085,5.12517
128,37.7964,0.552517,36.7071,37.4618,37.7883,38.1078,39.4254
256,298.501,1.90463,296.39,297.617,297.991,298.523,305.535
512,2114.53,3.22214,2109.26,2112.33,2114.18,2116.34,2122.49
1024,14892.3,17.1592,14862.7,14878.4,14891.8,14905.5,14924.5
