n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000627625,0.000148777,0.000419,0.000568,0.0006135,0.0006835,0.001237
2,0.000986813,0.000169001,0.000605,0.00092775,0.001017,0.0011195,0.001244
4,0.00266587,0.000485124,0.001921,0.00216375,0.002791,0.00306275,0.003593
8,0.0145689,0.00284637,0.011347,0.012439,0.012816,0.0178985,0.018692
16,0.0873265,0.0115325,0.073252,0.0818145,0.082973,0.0933285,0.118045
32,0.720591,0.0335672,0.65713,0.704553,0.721148,0.738368,0.792526
64,5.2109,0.137435,5.05094,5.10969,5.18365,5.24249,5.62676
128,37.4855,0.372369,37.0094,37.242,37.368,37.6176,38.4216
256,269.5,1.43958,267.522,268.74,269.234,269.633,275.473
512,1923.6,3.03621,1917.92,1921.35,1923.6,1926.32,1928.42
1024,13489.8,13.9571,13461.7,13483,13490,13498.3,13513.8
